                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1614,                0.65148,                      1,                 1.1607,              0.0033296,              0.0033296,              0.0033296
                      2,                0.82696,                0.71735,                      1,                 1.0605,               0.006399,               0.006399,               0.006399
                      3,                0.70018,                0.77875,                      1,                0.98618,              0.0092045,              0.0092045,              0.0092045
                      4,                 0.5877,                0.81392,                      1,                0.95103,               0.008812,               0.008812,               0.008812
                      5,                0.45449,                0.87669,                      1,                0.88876,               0.008416,               0.008416,               0.008416
                      6,                0.36939,                0.92225,                      1,                0.84966,                0.00802,                0.00802,                0.00802
                      7,                0.31967,                 0.9459,                      1,                0.81897,               0.007624,               0.007624,               0.007624
                      8,                0.27484,                0.96224,                      1,                0.79874,               0.007228,               0.007228,               0.007228
                      9,                0.23923,                0.97289,                      1,                0.78788,               0.006832,               0.006832,               0.006832
                     10,                0.21671,                0.97635,                      1,                0.78187,               0.006436,               0.006436,               0.006436
                     11,                 0.1941,                0.97648,                      1,                0.77652,                0.00604,                0.00604,                0.00604
                     12,                0.17174,                0.98576,                      1,                 0.7667,               0.005644,               0.005644,               0.005644
                     13,                0.15957,                0.98663,                      1,                0.76591,               0.005248,               0.005248,               0.005248
                     14,                0.14221,                0.98948,                      1,                0.75983,               0.004852,               0.004852,               0.004852
                     15,                0.13358,                 0.9927,                      1,                0.75636,               0.004456,               0.004456,               0.004456
                     16,                0.11802,                0.99443,                      1,                0.75456,                0.00406,                0.00406,                0.00406
                     17,                0.10581,                0.99604,                      1,                0.75175,               0.003664,               0.003664,               0.003664
                     18,                0.09767,                0.99641,                      1,                 0.7502,               0.003268,               0.003268,               0.003268
                     19,                0.08914,                 0.9979,                      1,                0.74912,               0.002872,               0.002872,               0.002872
                     20,                0.08606,                0.99752,                      1,                0.74903,               0.002476,               0.002476,               0.002476
                     21,                0.07467,                 0.9979,                      1,                0.74813,                0.00208,                0.00208,                0.00208
                     22,                0.07196,                0.99802,                      1,                 0.7475,               0.001684,               0.001684,               0.001684
                     23,                 0.0676,                0.99839,                      1,                0.74723,               0.001288,               0.001288,               0.001288
                     24,                0.06058,                 0.9979,                      1,                0.74724,               0.000892,               0.000892,               0.000892
                     25,                0.05558,                 0.9979,                      1,                0.74736,               0.000496,               0.000496,               0.000496
